country_name,subject,measure,period_id,year,area,value,value_indexed
United Kingdom,Exports of services,CVM,2024-Q3,2024,WW,111725,117.33292725831097
United Kingdom,Imports of services,CVM,2018-Q1,2018,WW,59410,96.03323419112893
United Kingdom,Imports of services,CVM,2018-Q2,2018,WW,60607,97.96812362601837
United Kingdom,Imports of services,CVM,2018-Q3,2018,WW,60952,98.52579852579852
United Kingdom,Imports of services,CVM,2018-Q4,2018,WW,66487,107.47284365705418
United Kingdom,Imports of services,CVM,2019-Q1,2019,WW,62308,100.71770334928229
United Kingdom,Imports of services,CVM,2019-Q2,2019,WW,64021,103.48668046036467
United Kingdom,Imports of services,CVM,2019-Q3,2019,WW,64740,104.64890728048624
United Kingdom,Imports of services,CVM,2019-Q4,2019,WW,63904,103.29755592913487
United Kingdom,Imports of services,CVM,2020-Q1,2020,WW,61897,100.05334281650072
United Kingdom,Imports of services,CVM,2020-Q2,2020,WW,42463,68.6392732445364
United Kingdom,Imports of services,CVM,2020-Q3,2020,WW,43815,70.82471227208069
United Kingdom,Imports of services,CVM,2020-Q4,2020,WW,44623,72.13080305185568
United Kingdom,Imports of services,CVM,2021-Q1,2021,WW,44841,72.48318893055735
United Kingdom,Imports of services,CVM,2021-Q2,2021,WW,46789,75.63203155308419
United Kingdom,Imports of services,CVM,2021-Q3,2021,WW,50599,81.79070218543902
United Kingdom,Imports of services,CVM,2021-Q4,2021,WW,56551,91.41180654338548
United Kingdom,Imports of services,CVM,2022-Q1,2022,WW,57389,92.76639079270657
United Kingdom,Imports of services,CVM,2022-Q2,2022,WW,63586,102.7835251519462
United Kingdom,Imports of services,CVM,2022-Q3,2022,WW,64751,104.6666882193198
United Kingdom,Imports of services,CVM,2022-Q4,2022,WW,65781,106.33163067373594
United Kingdom,Imports of services,CVM,2023-Q1,2023,WW,66135,106.90385361437993
United Kingdom,Imports of services,CVM,2023-Q2,2023,WW,69178,111.82270787533946
United Kingdom,Imports of services,CVM,2023-Q3,2023,WW,70314,113.65899392215182
United Kingdom,Imports of services,CVM,2023-Q4,2023,WW,71619,115.76845984740723
United Kingdom,Imports of services,CVM,2024-Q1,2024,WW,72184,116.68175352385879
United Kingdom,Imports of services,CVM,2024-Q2,2024,WW,72859,117.77285658864606
United Kingdom,Imports of services,CVM,2024-Q3,2024,WW,73612,118.99004267425319
United Kingdom,Exports of goods and services,CP,2018-Q1,2018,WW,165045,97.12814476975136
